id,pose_x,pose_y,pose_z,rot_x,rot_y,rot_z,rot_w,command
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,start
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,end
